State	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
AL	2.6	2.7	2.7	2.9	2.7	2.8	3.4	3.7	4.3	4.4	4.7
AK	12.6	12.5	12.6	12.3	11.5	11.0	11.8	11.8	11.6	10.7	10.8
AZ	8.9	8.4	8.2	7.0	6.0	6.3	7.2	7.1	6.5	7.3	8.2
AR	6.8	7.1	7.2	7.7	7.8	8.4	8.0	7.8	7.9	8.1	8.1
CA	22.1	24.2	23.9	22.1	21.8	21.1	20.2	19.1	18.4	17.5	18.9
CO	13.2	13.2	13.5	11.8	11.6	11.7	11.5	10.9	10.6	10.2	10.4
CT	5.6	5.8	6.0	6.6	6.5	6.8	7.2	7.6	8.0	7.7	9.4
DE	5.4	5.8	6.3	6.3	7.2	7.9	9.3	10.6	10.9	10.6	11.5
DC	7.2	8.8	7.6	7.2	7.3	7.6	9.3	9.6	10.5	10.4	11.3
FL	10.1	10.3	10.5	9.2	9.6	10.3	9.9	9.9	9.7	9.5	9.5
GA	5.4	5.5	5.7	6.0	6.3	6.3	7.0	6.8	7.3	7.3	7.7
HI	10.9	10.4	8.9	8.4	7.5	7.0	8.2	9.1	9.8	9.5	10.0
ID	5.8	5.0	4.6	4.4	4.6	5.4	5.9	6.2	6.8	6.0	5.8
IL	9.0	9.2	9.0	9.8	9.5	10.2	10.2	11.4	11.8	11.6	12.8
IN	4.9	5.0	5.3	5.5	4.8	4.5	5.3	5.8	6.4	6.6	7.0
IA	4.5	4.8	5.2	5.3	5.4	5.6	5.7	6.1	6.1	6.0	6.2
KS	9.7	10.1	10.4	10.9	10.6	11.0	9.9	8.9	8.6	8.9	8.0
KY	2.7	3.0	3.3	3.0	3.2	3.2	3.8	4.0	4.1	4.8	5.4
LA	2.0	2.2	2.5	2.6	3.3	3.2	3.5	3.6	4.1	3.9	4.9
ME	1.2	2.9	3.0	2.8	2.8	2.9	3.2	3.3	3.0	3.0	3.1
MD	6.5	7.0	7.1	6.9	7.2	7.8	8.9	9.4	10.3	10.1	11.2
MA	7.5	7.4	7.7	8.2	8.6	9.0	9.7	9.9	10.2	10.0	10.5
MI	4.9	5.2	5.7	5.5	5.8	6.2	6.4	6.4	6.3	6.3	6.4
MN	8.4	8.3	8.7	8.2	8.2	8.2	8.3	8.2	8.4	8.3	8.8
MO	2.7	2.9	3.0	3.2	3.2	3.4	3.7	3.8	3.8	3.7	3.8
MS	1.4	1.6	1.7	1.9	2.0	2.7	2.7	3.1	2.5	3.0	3.1
MT	2.3	2.6	2.4	2.2	2.2	2.0	2.1	2.3	2.4	2.5	2.4
NC	7.0	6.7	6.7	6.3	6.6	6.0	6.8	7.3	7.9	7.6	8.0
ND	3.6	3.2	3.2	2.9	2.9	2.9	3.2	3.5	3.6	3.5	3.3
NE	6.7	6.1	6.3	6.5	6.5	6.9	7.2	7.2	7.0	6.8	7.3
NH	2.3	2.3	2.3	2.2	2.3	2.4	2.8	2.8	2.8	2.8	2.8
NJ	4.2	4.5	5.0	5.1	4.9	5.0	5.6	6.0	7.0	6.9	8.2
NM	17.6	17.5	16.9	14.6	15.6	14.7	15.7	15.3	16.0	15.6	18.8
NV	18.0	17.4	15.5	16.8	16.8	15.9	16.8	14.8	14.1	13.4	13.8
NY	8.7	8.8	8.8	7.9	8.0	8.7	8.9	8.8	8.7	9.2	9.7
OH	2.5	2.6	2.9	2.8	3.0	3.3	3.1	3.3	3.6	3.6	3.8
OK	6.2	6.5	6.6	6.6	6.7	6.7	7.5	7.9	8.5	8.7	9.3
OR	10.3	9.7	9.7	8.2	8.7	9.3	8.4	8.2	8.7	9.0	9.5
PA	2.8	3.0	2.8	3.0	3.1	3.2	3.6	4.0	4.2	4.2	4.6
RI	5.5	6.2	6.5	7.1	7.4	7.8	8.8	9.8	11.9	12.0	12.5
SC	5.3	5.6	5.8	5.7	5.6	5.7	5.9	5.8	5.8	5.6	5.8
SD	4.1	4.0	3.9	3.8	3.4	3.4	3.9	4.3	4.7	4.7	4.6
TN	3.3	3.2	3.5	3.6	4.1	4.3	4.5	4.5	4.9	5.2	5.8
TX	14.9	15.2	15.7	16.4	16.8	17.2	17.1	17.8	18.6	19.3	20.2
UT	6.4	6.4	6.2	6.5	6.6	6.3	6.9	7.5	7.9	7.9	8.3
VT	1.7	1.8	1.8	1.7	1.6	1.6	1.9	—	1.9	2.1	2.0
VA	7.8	7.9	8.1	8.2	8.4	8.7	8.8	8.3	8.9	9.4	9.4
WA	9.3	10.2	10.6	10.3	10.4	11.1	11.5	11.5	11.3	11.6	11.4
WV	0.7	0.9	1.0	1.0	1.0	1.0	0.7	0.7	0.8	0.7	0.8
WI	5.5	5.4	5.2	5.2	5.3	5.4	5.8	5.9	6.0	5.2	5.9
WY	3.1	3.1	3.6	3.5	3.1	3.0	2.9	2.9	2.9	2.7	2.7
